ID,overall
21069B00BFK2B24,2.9762174711035643
3506B00ZK0Y7R2,3.4314465323146734
21907B0002AQPA2,3.4021287541708003
14092B0002DHXX2,4.475299989149622
3085B0006VB3SQ,4.722844455715558
17769B001WX2GAG,4.065467563083442
2108B001PIJJE4,4.889642987263589
1073B0002H3ZLM,4.018969316842565
7295B000W5QSYA,5.0
16740B003SE31CO,4.368100903088988
3984B008ESY894,3.8978323894130664
11529B006MUQYI4,4.605222070008406
17092B0002DHZSU,3.9402670616039037
19394B000Z3IQ3U,3.165491357803364
3292B000W5QSYA,4.479630360924038
9576B005R46A6W,4.680668913802746
3893B003ARUKTG,3.313145182631971
455B0002DGL26,3.6802319274007025
9012B00KNWVPFO,3.8805818851182883
7784B001TY5D6C,4.2930002435214005
21669B00ZGPI3OY,4.321492911454735
10972B000EBMW9W,4.868828826686688
9584B003GS22GS,4.16878779865745
16082B01B9MR2UI,4.556267997352828
13045B0002AR19Q,4.206260656072484
21257B0002ASNAM,3.936192796312959
670B001X9FGO2,4.074827976160884
6033B00X591HZ0,4.508426010668021
14791B007RBB4XW,4.980732595778399
10132B017UAJ57G,3.808225154007945
19644B001G0NKTQ,4.5121954623977265
11783B000W5QSYA,4.946829858790844
20172B00HRQAL2C,4.396498143863274
22036B000IHOKGU,4.925706112116348
3673B0032G6VUW,4.470840159656827
19825B00FPKNRF0,5.0
19294B004RSVTJM,4.623386774352712
17844B00LZUCIL8,4.399214999993408
13681B00EHN2E6Y,5.0
17915B0009YWKU0,3.5214712032762874
3832B001P3NU4E,3.9605726713931384
6740B002VS6PYE,4.537428892416229
6570B0017J8NDY,4.959207782822749
22098B00P7RAVSW,4.193181562642871
22072B00006HI46,4.539300530625054
5263B00BD3UN8C,3.8614339209576616
9958B00KC684SM,4.537343308682608
691B00063434K,4.5130468186124135
1859B005CQARAA,4.2403217758591305
4940B000FJ7RAC,3.9598084619042155
21084B000F6PVXU,2.1644224134541066
1457B00B4UR08K,4.224990309290686
18525B000YADYXG,3.1237653091092565
21448B0012NV9NQ,5.0
15140B00ROZAL1C,4.162478934480635
9650B003R0LM2U,4.235029718821744
18219B007D17A52,4.217728417962015
11495B014N08G8K,3.4560664473356053
12135B000084F1Z,4.68770387081542
4288B000JZOQO2,3.924854187518502
18740B000QFRY76,4.4924066366110145
19926B006ZTTSOE,3.4256929418505853
1523B000ALY0OQ,4.798535211726229
9148B00OIAGTRQ,4.220904600062064
20848B00106TAEU,3.407708629740798
7658B0057LAH6E,3.4691129565747003
14513B013TKJ0T4,4.524020780119098
4088B002VS6PYE,4.629523171981547
9878B0032G70FW,4.8788093443690945
22016B004QM0OFE,4.2195625937556605
13894B0032G6VUW,4.382437535663144
17039B00ZUC8B2M,5.0
3245B002X2NBNQ,4.928323479563422
20973B000HBAJ4Y,4.667378205989625
4919B0012NV9NQ,3.069311758767798
8398B003SE31CO,3.9981918193185546
5681B0002DHNWS,4.983360024866567
6975B0009YD8OC,4.921642849714839
16951B00006IX59,5.0
12196B004E2H486,5.0
20804B0002X8HB4,3.793324681678941
18070B004RVOOAA,4.920761303314748
4725B0177ON508,4.433800515271239
3234B00P5P8V0Q,4.590106373012426
21706B000QOIX4U,4.509312399622482
14500B00176EP66,4.988547487675725
18248B0002BSMDE,4.504890924093083
6525B0002DGJS2,4.473058725309149
13731B0032G70FW,3.7959369850735056
15483B005AIPRJG,5.0
840B00TTDEU7S,4.1079190324413
5794B001J0C3OQ,4.655828853335572
8438B00176GKM8,5.0
8099B00A755SKA,3.9626752670640193
2798B0114BNXQ6,4.169357335157663
1495B0030V9HV4,4.922288306730343
4415B001TL3DQW,4.489561253387209
14885B013OASU6S,4.930304690694851
1929B0002I0LL8,4.752464137522982
10280B000MCZV28,4.520096578651177
10259B00JR99EHA,5.0
20932B003SE31CO,4.310912728976024
6764B000084F1Z,4.536302427553712
18238B000Y8UNF0,1.1698805303813806
9688B000N30PFY,5.0
15401B0002DHNWS,4.42707221505072
20106B003ZNXCE0,4.272552778121551
14538B00O6A9PKQ,4.963166724441604
6214B0052YFPWM,4.179668916181074
4771B000FPJ6QO,4.79355936806631
15203B00KQGRIKI,4.075701834650449
18793B00HRQAL2C,4.259115004530294
13467B00BJLS55G,5.0
5043B0016W9NRM,4.993981938189144
14420B000NHWMGU,4.428141148436045
9349B003TU0XG4,3.985318539221331
600B00ENL0JJO,4.761055530717128
16736B001B58L0O,2.9548365233041336
10992B000VJHCCY,3.14622972727466
8000B0002DHXX2,3.7885146596665527
14253B005F9HEYQ,5.0
14046B001CQRZWC,5.0
17217B001P3PR5O,4.5013661132208185
11548B000NWJEDO,3.0548072060931304
19764B001AT9B8M,3.912709590541191
16458B008Y527PE,4.576018545733913
17640B000WFKTWM,4.939452746236029
11737B000FJ7RAC,4.099487775678723
2387B00025640S,4.725966213184486
7049B00E5DEB5I,4.123035650562494
