ID,overall
21069B00BFK2B24,3.2721042646537586
3506B00ZK0Y7R2,3.830002293122553
21907B0002AQPA2,3.484556695943133
14092B0002DHXX2,4.7734087277404775
3085B0006VB3SQ,4.249319862643774
17769B001WX2GAG,4.009800939716586
2108B001PIJJE4,4.818177976038276
1073B0002H3ZLM,4.020277993462113
7295B000W5QSYA,4.999828250056708
16740B003SE31CO,4.338594228832043
3984B008ESY894,4.25924121441135
11529B006MUQYI4,4.417844531989251
17092B0002DHZSU,3.914076253533445
19394B000Z3IQ3U,3.1278111472004415
3292B000W5QSYA,4.690547352767672
9576B005R46A6W,4.401070401952105
3893B003ARUKTG,3.1289927678681417
455B0002DGL26,4.148035604008713
9012B00KNWVPFO,4.422315775503718
7784B001TY5D6C,4.083192379327898
21669B00ZGPI3OY,4.2959220996866945
10972B000EBMW9W,5.0
9584B003GS22GS,4.158514016162545
16082B01B9MR2UI,4.289980267916189
13045B0002AR19Q,4.079555102073244
21257B0002ASNAM,3.8961697280235055
670B001X9FGO2,4.104013029897481
6033B00X591HZ0,3.875485981531652
14791B007RBB4XW,4.611260870321964
10132B017UAJ57G,3.934219144978641
19644B001G0NKTQ,4.386636673763574
11783B000W5QSYA,4.979167057990834
20172B00HRQAL2C,3.9776376476442055
22036B000IHOKGU,4.669174939593073
3673B0032G6VUW,4.398523411119054
19825B00FPKNRF0,4.764118628502282
19294B004RSVTJM,4.825851630183632
17844B00LZUCIL8,4.607710241506915
13681B00EHN2E6Y,5.0
17915B0009YWKU0,3.5109538489785996
3832B001P3NU4E,4.347617366076621
6740B002VS6PYE,4.910075794892288
6570B0017J8NDY,4.983154993822529
22098B00P7RAVSW,4.4253826592719525
22072B00006HI46,4.585120652617783
5263B00BD3UN8C,3.9420158669589282
9958B00KC684SM,4.87154543958207
691B00063434K,4.8685861809086015
1859B005CQARAA,4.4001689615209
4940B000FJ7RAC,3.998419687996574
21084B000F6PVXU,2.008161265961962
1457B00B4UR08K,4.357205722040403
18525B000YADYXG,3.0669733877938063
21448B0012NV9NQ,4.98620626273652
15140B00ROZAL1C,4.379354965093135
