ID,overall
21069B00BFK2B24,3.4
3506B00ZK0Y7R2,3.4
21907B0002AQPA2,3.7777777777777777
14092B0002DHXX2,4.666666666666667
3085B0006VB3SQ,4.4421961223311275
17769B001WX2GAG,3.6666666666666665
2108B001PIJJE4,4.864480001047299
1073B0002H3ZLM,4.274874178516153
7295B000W5QSYA,5.0
16740B003SE31CO,4.5
3984B008ESY894,4.608604749099616
11529B006MUQYI4,4.777777777777778
17092B0002DHZSU,3.5772384640017627
19394B000Z3IQ3U,4.024083997922684
3292B000W5QSYA,4.119077081142353
9576B005R46A6W,5.0
3893B003ARUKTG,2.75
455B0002DGL26,4.166666666666667
9012B00KNWVPFO,4.705882352941177
7784B001TY5D6C,4.335753668266953
21669B00ZGPI3OY,4.6
10972B000EBMW9W,4.75
9584B003GS22GS,4.625
16082B01B9MR2UI,3.8333333333333335
13045B0002AR19Q,4.0
21257B0002ASNAM,3.625
670B001X9FGO2,4.1689997109810015
6033B00X591HZ0,4.14508222418568
14791B007RBB4XW,4.6
10132B017UAJ57G,3.0
19644B001G0NKTQ,4.5
11783B000W5QSYA,5.0
20172B00HRQAL2C,3.8
22036B000IHOKGU,5.0
3673B0032G6VUW,4.444418746734444
19825B00FPKNRF0,5.0
19294B004RSVTJM,4.879310102484614
17844B00LZUCIL8,4.335753668266953
13681B00EHN2E6Y,4.875
17915B0009YWKU0,2.674200834187136
3832B001P3NU4E,4.75
6740B002VS6PYE,5.0
6570B0017J8NDY,4.777777777777778
22098B00P7RAVSW,4.335753668266953
22072B00006HI46,3.8333333333333335
5263B00BD3UN8C,3.6666666666666665
9958B00KC684SM,5.0
691B00063434K,4.880565827262644
1859B005CQARAA,5.0
4940B000FJ7RAC,3.75
21084B000F6PVXU,2.9592806024528926
1457B00B4UR08K,4.111111111111111
18525B000YADYXG,4.57259208245074
21448B0012NV9NQ,5.0
15140B00ROZAL1C,5.0
9650B003R0LM2U,4.285714285714286
18219B007D17A52,4.333333333333333
11495B014N08G8K,4.0
12135B000084F1Z,4.434782608695652
4288B000JZOQO2,4.157442463232776
18740B000QFRY76,4.25
19926B006ZTTSOE,3.75
1523B000ALY0OQ,4.777777777777778
9148B00OIAGTRQ,4.335753668266953
20848B00106TAEU,3.0
7658B0057LAH6E,3.727272727272727
14513B013TKJ0T4,4.4
4088B002VS6PYE,5.0
9878B0032G70FW,4.448275862068965
22016B004QM0OFE,4.0
13894B0032G6VUW,4.25
17039B00ZUC8B2M,4.333333333333333
3245B002X2NBNQ,4.808561000041681
20973B000HBAJ4Y,4.333333333333333
4919B0012NV9NQ,3.5291500216179683
8398B003SE31CO,4.714285714285714
5681B0002DHNWS,5.0
6975B0009YD8OC,3.622397649409932
16951B00006IX59,5.0
12196B004E2H486,5.0
20804B0002X8HB4,4.63091883811012
18070B004RVOOAA,5.0
4725B0177ON508,4.335753668266953
3234B00P5P8V0Q,5.0
21706B000QOIX4U,4.428571428571429
14500B00176EP66,5.0
18248B0002BSMDE,4.526648685501384
6525B0002DGJS2,4.5
13731B0032G70FW,3.9166666666666665
15483B005AIPRJG,4.335753668266953
840B00TTDEU7S,3.25
5794B001J0C3OQ,4.620102336672308
8438B00176GKM8,5.0
8099B00A755SKA,4.335753668266953
2798B0114BNXQ6,3.8737068740577145
1495B0030V9HV4,4.8
4415B001TL3DQW,4.5
14885B013OASU6S,4.6762645733055095
1929B0002I0LL8,4.6
10280B000MCZV28,4.5
10259B00JR99EHA,4.837540018801363
20932B003SE31CO,4.285714285714286
6764B000084F1Z,4.7
18238B000Y8UNF0,3.1538461538461537
9688B000N30PFY,5.0
15401B0002DHNWS,4.714285714285714
20106B003ZNXCE0,4.532671132881925
14538B00O6A9PKQ,4.777777777777778
6214B0052YFPWM,4.454545454545454
4771B000FPJ6QO,4.4642024259186055
15203B00KQGRIKI,5.0
18793B00HRQAL2C,4.833333333333333
13467B00BJLS55G,5.0
5043B0016W9NRM,4.335753668266953
14420B000NHWMGU,4.666666666666667
9349B003TU0XG4,4.230769230769231
600B00ENL0JJO,5.0
16736B001B58L0O,1.6852820592328424
10992B000VJHCCY,4.444444444444445
8000B0002DHXX2,3.5
14253B005F9HEYQ,4.806390635582703
14046B001CQRZWC,4.928571428571429
17217B001P3PR5O,5.0
11548B000NWJEDO,4.0
19764B001AT9B8M,4.239310291105311
16458B008Y527PE,3.8666666666666667
17640B000WFKTWM,4.618904341797304
11737B000FJ7RAC,4.0
2387B00025640S,4.5
7049B00E5DEB5I,3.9123935953347084
8075B0010B6IFY,5.0
21705B0002HYB7O,4.0
14265B00HSJFOFC,5.0
7702B000X98CN0,4.0506887489056576
21156B000084EEF,3.142857142857143
19253B000255NAK,4.366422341924411
11101B0007A0AQW,4.285714285714286
11459B000M5SHUS,4.8
2793B000I82DTU,5.0
458B00025K0R6,4.863636363636363
10938B005B3LB2C,4.875
18707B00134FQZQ,4.428571428571429
3715B00N99WN90,5.0
18823B004V9S6RK,4.625
13562B000QJ9EU2,4.714285714285714
17540B002R8SLUY,4.666666666666667
7405B01B9MR2UI,3.8
14299B000F4AVPA,3.727272727272727
10752B0002ZS20I,3.75
3922B00IASA0R2,3.6666666666666665
11231B00XEVJAR6,4.074449115979954
13426B0040V20X0,3.9574633485706774
15162B0002I0RNK,2.6666666666666665
14808B0009YHU6Y,5.0
18333B000GDTRAU,4.25
453B0015AM778,3.6666666666666665
6264B00J84153K,5.0
18744B000FRQIR2,5.0
17152B000X2QGAI,3.6
7055B000VJHCCY,4.714285714285714
18147B0002DHV16,3.6
7649B000E8OW3Y,3.7721751638420558
8326B00C7OTE0O,5.0
8528B00ROZAL0I,4.769230769230769
20118B000W5QSYA,4.466666666666667
6946B00A755TQS,5.0
6924B0009ZBKG4,5.0
8307B00U6ELII8,4.335753668266953
3234B0002565TI,5.0
10407B002A2JZAC,3.5384615384615383
19806B00CZXQ31K,4.2
11854B0002IJQDC,4.05
3017B0009YUI86,4.17924830023728
10535B0002IJQDC,3.8421052631578947
17340B002RT8Z86,5.0
3518B0002DHOJA,4.6
7000B000255NIC,5.0
7564B00153RC9I,4.428571428571429
3706B002UCWLNK,4.545454545454546
5517B00XEVJAR6,5.0
5569B0002DHXX2,3.8
1293B000H3VAQ8,4.142857142857143
5873B016MY21XG,4.335753668266953
7260B001F2GDJ4,5.0
19077B000HGB8W6,5.0
9464B000NHWMGU,4.777777777777778
9984B0011XHGQ6,4.714285714285714
3164B0002DHXX2,5.0
1076B0002J1FNK,4.745491591046092
327B000UTFFLA,4.695652173913044
13036B00U9AJB24,3.5454545454545454
19888B005OPQCDU,4.69432165435348
17887B001B41TOK,3.3333333333333335
